g,n,i
g,n,i
g,n,i
g,n,i
United States of America,Missing,Missing
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
Australia,Victoria,Missing
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
Россия,СКФО,Карачаево-Черкесия
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
g,n,i
United States of America,Missing,Missing
g,n,i
g,n,i
g,n,i
g,n,i
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
Italia,EMR,FC
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
United States of America,Missing,Missing
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
Algérie الجزائر,Sétif - سطيف‎,Daïra Guidjel
g,n,i
g,n,i
United States of America,Missing,Missing
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
Perú,Tacna,Candarave
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
g,n,i
United States of America,Missing,Missing
g,n,i
Algérie الجزائر,Sétif - سطيف‎,Daïra Bouandas
Россия,СКФО,Карачаево-Черкесия
g,n,i
Algérie الجزائر,Sétif - سطيف‎,Daïra Bouandas
Algérie الجزائر,Sétif - سطيف‎,Daïra Bouandas
Algérie الجزائر,Sétif - سطيف‎,Daïra Beni Aziz
g,n,i
Algérie الجزائر,Sétif - سطيف‎,Daïra El Eulma
g,n,i
Algérie الجزائر,Sétif - سطيف‎,Daïra Bougaa
g,n,i
United States of America,Missing,Missing
Россия,СКФО,Карачаево-Черкесия
g,n,i
g,n,i
